Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[MFS 360 UCF Performance Potential Dev Tips Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/),Yes,No,D,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential.  The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra.",Not found,Not found,Not found
[MFS 360 UCF Standard Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/),Yes,No,D,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that).",Not found,Not found,Not found
[Micro Focus Unified Functional Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/),Yes,No,K,Multi-choice test that measures the knowledge of automation testing using the QTP tool.,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Microservices (New)](https://www.shl.com/solutions/products/product-catalog/view/microservices-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Microsoft Dynamics Development (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Microsoft Excel 365 - Essentials (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/),Yes,No,K S,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",Entry-Level,English (USA),30 minutes
[Microsoft Excel 365 (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/),Yes,No,K S,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",Entry-Level,English (USA),35 minutes
[Microsoft Outlook 2013 (adaptive)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/),Yes,Yes,K,"The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics: Application Management, Contacts and Address Books, Mail Management, Messages and Message Organization, Notes, Printing, Schedules and Calendars, Security, and Tasks.","Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
[Microsoft PowerPoint 365 - Essentials (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/),Yes,No,K S,"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations.",Entry-Level,English (USA),25 minutes
[Microsoft SQL Server 2014 Programming](https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/),Yes,Yes,K,"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries.","Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
[Microsoft Windows Server 2012 Administration](https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/),Yes,Yes,K,"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management.","Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
[Microsoft Word 365 - Essentials (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/),Yes,No,K S,"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.",Entry-Level,English (USA),25 minutes
[Microsoft Word 365 (New)](https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/),Yes,No,S K,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.",Entry-Level,English (USA),35 minutes
[Mineral Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),12 minutes
[Mining Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),16 minutes
[Mobility (New)](https://www.shl.com/solutions/products/product-catalog/view/mobility-new/),Yes,No,K,Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Molecular Biology (New)](https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[MongoDB (New)](https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Motivation Questionnaire MQM5](https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/),Yes,No,P,"By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Latin American Spanish, Portuguese (Brazil), Latvian, Danish, Indonesian, Swedish, Turkish, Portuguese, French (Canada), Japanese, Chinese Traditional, Flemish, French (Belgium), Spanish, Finnish, French, German, Greek, Italian, Polish, Romanian, Russian, English International, English (USA), Chinese Simplified, Dutch, Hungarian, Norwegian, Czech, Slovak, English (Australia), Arabic, Korean",25 minutes
[MQ Candidate Motivation Report](https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/),Yes,No,P,The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Chinese Simplified",Not found
[MQ Employee Motivation Report](https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/),Yes,No,P,"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Chinese Simplified, English International, English (USA)",Not found
[MQ Motivation Report Pack](https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/),Yes,No,P,"The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees.","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager","Chinese Simplified, English International, English (USA)",Not found
[MQ Profile](https://www.shl.com/solutions/products/product-catalog/view/mq-profile/),Yes,No,P,"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Italian, Norwegian, Polish, Portuguese, Russian, Swedish, English International, English (USA), Romanian, Indonesian, Turkish, Chinese Simplified, Hungarian",Not found
[MS Access (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/),Yes,No,K,Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[MS Excel (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/),Yes,No,K,"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), Spanish, French, Portuguese (Brazil)",6 minutes
[MS Office Basic Computer Literacy (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/),Yes,No,K,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.","Graduate, Mid-Professional, Professional Individual Contributor","English (USA), Spanish, Portuguese (Brazil), French",7 minutes
[MS Office Basic Computer Literacy (Sim) (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/),Yes,No,S,"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),5 minutes
[MS PowerPoint (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/),Yes,No,K,"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.","Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), French, Spanish, Portuguese (Brazil)",4 minutes
[MS Word (New)](https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/),Yes,No,K,Multi-choice test that measures the ability to use MS Word to record and save textual information.,"Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager","Spanish, French, Portuguese (Brazil), English (USA)",4 minutes
[MuleSoft Development (New)](https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Multitasking Ability](https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/),Yes,No,A K S,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),20 minutes
[Networking and Implementation (New)](https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/),Yes,No,K,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Node.js (New)](https://www.shl.com/solutions/products/product-catalog/view/node-js-new/),Yes,No,K,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Nursing (New)](https://www.shl.com/solutions/products/product-catalog/view/nursing-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Occupational Personality Questionnaire OPQ32r](https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/),Yes,No,P,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.","Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive","English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese",25 minutes
[Operations Management (New)](https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/),Yes,No,K,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[OPQ Candidate Plus Report](https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/),Yes,No,P,A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Finnish, English International",Not found
[OPQ Candidate Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/),Yes,No,P,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,Not found,Not found,Not found
[OPQ Emotional Intelligence Report](https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/),Yes,No,P,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Latin American Spanish, Portuguese, Swedish, English International, English (USA)",Not found
[OPQ Leadership Report](https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.","Director, Executive, Manager, Mid-Professional, Professional Individual Contributor","Dutch, English International, English (USA), Romanian, Portuguese, French, German, Swedish, Chinese Simplified, Portuguese (Brazil), Japanese, Polish, Russian, Latin American Spanish",Not found
[OPQ Manager Plus Report](https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/),Yes,No,P,"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Romanian, Czech, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA)",Not found
[OPQ Manager Plus Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/),Yes,No,P,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,"Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level",Not found,Not found
[OPQ Maximising your Learning Report](https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/),Yes,No,P,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach to learning across four dimensions.,"Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director","Danish, Dutch, Portuguese, Swedish, English International",Not found
[OPQ MQ Sales Report](https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. 
Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Portuguese (Brazil), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA), Chinese Traditional, Portuguese, Romanian",Not found
[OPQ Premium Plus Report](https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.","Supervisor, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Executive",English International,Not found
[OPQ Premium Plus Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.","Manager, Graduate, Mid-Professional, Professional Individual Contributor, Director, General Population, Entry-Level, Executive, Front Line Manager, Supervisor",Not found,Not found
[OPQ Profile Report](https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/),Yes,No,P,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Arabic, Romanian, Slovak, Serbian, Chinese Simplified, Chinese Traditional, Danish, Flemish, Dutch, English International, Finnish, French (Belgium), French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese, Russian, Latin American Spanish, Spanish, Swedish, Thai, Turkish, English (USA), Czech, Estonian, Latvian, Lithuanian",Not found
[OPQ Team Impact Group Development Report](https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/),Yes,No,P,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.“IMPORTANT! Please note that for a sample report contact Managed Services"".","Executive, Director, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Danish, English International, Finnish, Dutch, Norwegian, Swedish, English (USA)",Not found
[OPQ Team Impact Individual Development Report](https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/),Yes,No,P,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English (USA)",Not found
[OPQ Team Impact Selection Report](https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/),Yes,No,P,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English International, English (USA)",Not found
[OPQ Team Types & Leadership Styles Profile](https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/),Yes,No,P,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Portuguese (Brazil), Danish, French (Canada), French, German, Italian, Latin American Spanish, Norwegian, Portuguese, Swedish, Turkish, English International, English (USA)",Not found
[OPQ Team Types and Leadership Styles Report](https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/),Yes,No,P,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Italian, Latin American Spanish, Norwegian, Portuguese, English International, English (USA)",Not found
[OPQ UCF Development Action Planner Report 1.0](https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Dutch, French, German, Norwegian, Swedish, Japanese, Portuguese, Chinese Simplified, Italian, Danish, Finnish, Latin American Spanish, Portuguese (Brazil)",Not found
[OPQ UCF Development Action Planner Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.","Director, Executive, Front Line Manager, Manager, Graduate, General Population, Professional Individual Contributor, Supervisor, Mid-Professional",Not found,Not found
[OPQ Universal Competency Report 1.0](https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Graduate, Director, Executive, Front Line Manager, General Population, Supervisor, Manager, Mid-Professional, Professional Individual Contributor","Czech, Romanian, Slovak, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA)",Not found
[OPQ Universal Competency Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/),Yes,No,P,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Executive, Front Line Manager, General Population",Not found,Not found
[OPQ User and Managers Report](https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/),Yes,No,P,"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  The Manager's Report describes the individual's personal style in narrative text that can be given directly to a line manager.
These reports can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Danish, Finnish, French, Italian, Norwegian, Portuguese, English International",Not found
[OPQ User Report](https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/),Yes,No,P S,"This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, English International, English (USA), Portuguese (Brazil), French (Canada), Latin American Spanish",Not found
[Oracle DBA (Advanced Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
